state,year,quarter,year_quarter,transaction_type,"transaction_count
",transaction_amount,avg_transaction_value,Region
Andhra Pradesh,2021,Q4,2021-Q4,Financial Services,243951,332740108.66,1364,Southern Region
Andhra Pradesh,2021,Q4,2021-Q4,Others,701856,545223415.66,777,Southern Region
Andhra Pradesh,2022,Q1,2022-Q1,Peer-to-peer payments,288488560,1089629182596.47,3777,Southern Region
Andhra Pradesh,2022,Q1,2022-Q1,Merchant payments,242031836,169419685917.20,700,Southern Region
Andhra Pradesh,2022,Q1,2022-Q1,Recharge & bill payments,51224170,34473036841.83,673,Southern Region
Andhra Pradesh,2022,Q1,2022-Q1,Financial Services,231651,324358965.12,1400,Southern Region
Andhra Pradesh,2022,Q1,2022-Q1,Others,627694,474382234.25,756,Southern Region
Andhra Pradesh,2022,Q2,2022-Q2,Peer-to-peer payments,321362337,1231408926513.71,3832,Southern Region
Andhra Pradesh,2022,Q2,2022-Q2,Merchant payments,292530048,205433660654.21,702,Southern Region
Andhra Pradesh,2022,Q2,2022-Q2,Recharge & bill payments,56606969,42408541939.06,749,Southern Region
Andhra Pradesh,2022,Q2,2022-Q2,Financial Services,192751,245783011.04,1275,Southern Region
Andhra Pradesh,2022,Q2,2022-Q2,Others,441925,357036084.91,808,Southern Region
Andhra Pradesh,2022,Q3,2022-Q3,Peer-to-peer payments,298804000,1140164525892.73,3816,Southern Region
Andhra Pradesh,2022,Q3,2022-Q3,Merchant payments,291033653,202910820650.08,697,Southern Region
Andhra Pradesh,2022,Q3,2022-Q3,Recharge & bill payments,52467708,41438764826.20,790,Southern Region
Andhra Pradesh,2022,Q3,2022-Q3,Financial Services,187190,239347241.55,1279,Southern Region
Andhra Pradesh,2022,Q3,2022-Q3,Others,362484,323951101.57,894,Southern Region
Andhra Pradesh,2022,Q4,2022-Q4,Merchant payments,321632104,211898851397.10,659,Southern Region
Andhra Pradesh,2022,Q4,2022-Q4,Peer-to-peer payments,315734006,1170249585983.01,3706,Southern Region
Andhra Pradesh,2022,Q4,2022-Q4,Recharge & bill payments,52098850,41986837706.48,806,Southern Region
Andhra Pradesh,2022,Q4,2022-Q4,Financial Services,206459,250596592.06,1214,Southern Region
Andhra Pradesh,2022,Q4,2022-Q4,Others,345658,339211363.00,981,Southern Region
Arunachal Pradesh,2018,Q1,2018-Q1,Recharge & bill payments,28729,5184132.51,180,North-Eastern Region
Arunachal Pradesh,2018,Q1,2018-Q1,Peer-to-peer payments,13320,82889682.72,6223,North-Eastern Region
Arunachal Pradesh,2018,Q1,2018-Q1,Merchant payments,1042,2420374.19,2323,North-Eastern Region
Arunachal Pradesh,2018,Q1,2018-Q1,Financial Services,416,58893.76,142,North-Eastern Region
Arunachal Pradesh,2018,Q1,2018-Q1,Others,1990,1834252.82,922,North-Eastern Region
Arunachal Pradesh,2018,Q2,2018-Q2,Recharge & bill payments,50700,10468878.54,206,North-Eastern Region
Arunachal Pradesh,2018,Q2,2018-Q2,Peer-to-peer payments,26477,181576281.19,6858,North-Eastern Region
Arunachal Pradesh,2018,Q2,2018-Q2,Merchant payments,2378,4718953.44,1984,North-Eastern Region
Arunachal Pradesh,2018,Q2,2018-Q2,Financial Services,559,363761.80,651,North-Eastern Region
Arunachal Pradesh,2018,Q2,2018-Q2,Others,2043,1842317.37,902,North-Eastern Region
Arunachal Pradesh,2018,Q3,2018-Q3,Recharge & bill payments,74122,15997565.91,216,North-Eastern Region
Arunachal Pradesh,2018,Q3,2018-Q3,Peer-to-peer payments,49740,308106303.45,6194,North-Eastern Region
Arunachal Pradesh,2018,Q3,2018-Q3,Merchant payments,4738,5505694.57,1162,North-Eastern Region
Arunachal Pradesh,2018,Q3,2018-Q3,Financial Services,507,72133.85,142,North-Eastern Region
Arunachal Pradesh,2018,Q3,2018-Q3,Others,2039,2044708.97,1003,North-Eastern Region
Arunachal Pradesh,2018,Q4,2018-Q4,Recharge & bill payments,97751,20662691.88,211,North-Eastern Region
Arunachal Pradesh,2018,Q4,2018-Q4,Peer-to-peer payments,68169,468831493.23,6877,North-Eastern Region
Arunachal Pradesh,2018,Q4,2018-Q4,Merchant payments,7726,11998974.10,1553,North-Eastern Region
Arunachal Pradesh,2018,Q4,2018-Q4,Financial Services,561,100597.90,179,North-Eastern Region
Arunachal Pradesh,2018,Q4,2018-Q4,Others,2222,2446271.97,1101,North-Eastern Region
Arunachal Pradesh,2019,Q1,2019-Q1,Recharge & bill payments,121303,26796895.00,221,North-Eastern Region
Arunachal Pradesh,2019,Q1,2019-Q1,Peer-to-peer payments,93494,568554821.45,6081,North-Eastern Region
Arunachal Pradesh,2019,Q1,2019-Q1,Merchant payments,9214,11727218.40,1273,North-Eastern Region
Arunachal Pradesh,2019,Q1,2019-Q1,Financial Services,256,140622.87,549,North-Eastern Region
Arunachal Pradesh,2019,Q1,2019-Q1,Others,2239,2730548.60,1220,North-Eastern Region
Arunachal Pradesh,2019,Q2,2019-Q2,Recharge & bill payments,131988,30420803.41,230,North-Eastern Region
Arunachal Pradesh,2019,Q2,2019-Q2,Peer-to-peer payments,106527,704237943.41,6611,North-Eastern Region
Arunachal Pradesh,2019,Q2,2019-Q2,Merchant payments,16828,13955724.13,829,North-Eastern Region
Arunachal Pradesh,2019,Q2,2019-Q2,Financial Services,267,160660.88,602,North-Eastern Region
Arunachal Pradesh,2019,Q2,2019-Q2,Others,3046,3880742.52,1274,North-Eastern Region
Arunachal Pradesh,2019,Q3,2019-Q3,Recharge & bill payments,216228,50946104.94,236,North-Eastern Region
Arunachal Pradesh,2019,Q3,2019-Q3,Peer-to-peer payments,133484,841037395.25,6301,North-Eastern Region
Arunachal Pradesh,2019,Q3,2019-Q3,Merchant payments,16900,17178248.07,1016,North-Eastern Region
Arunachal Pradesh,2019,Q3,2019-Q3,Financial Services,864,64089.11,74,North-Eastern Region
Arunachal Pradesh,2019,Q3,2019-Q3,Others,2758,3419197.42,1240,North-Eastern Region
Arunachal Pradesh,2019,Q4,2019-Q4,Recharge & bill payments,259183,63516906.09,245,North-Eastern Region
Arunachal Pradesh,2019,Q4,2019-Q4,Peer-to-peer payments,177833,1100137447.93,6186,North-Eastern Region
Arunachal Pradesh,2019,Q4,2019-Q4,Merchant payments,19769,23192271.69,1173,North-Eastern Region
Arunachal Pradesh,2019,Q4,2019-Q4,Financial Services,314,305379.80,973,North-Eastern Region
Arunachal Pradesh,2019,Q4,2019-Q4,Others,2376,3421174.01,1440,North-Eastern Region
Arunachal Pradesh,2020,Q1,2020-Q1,Recharge & bill payments,329834,86011654.77,261,North-Eastern Region
Arunachal Pradesh,2020,Q1,2020-Q1,Peer-to-peer payments,203429,1263912288.41,6213,North-Eastern Region
Arunachal Pradesh,2020,Q1,2020-Q1,Merchant payments,31181,28553052.13,916,North-Eastern Region
Arunachal Pradesh,2020,Q1,2020-Q1,Financial Services,470,337812.95,719,North-Eastern Region
Arunachal Pradesh,2020,Q1,2020-Q1,Others,2261,2943873.07,1302,North-Eastern Region
Arunachal Pradesh,2020,Q2,2020-Q2,Recharge & bill payments,522495,145198528.23,278,North-Eastern Region
Arunachal Pradesh,2020,Q2,2020-Q2,Peer-to-peer payments,247861,1630654426.04,6579,North-Eastern Region
Arunachal Pradesh,2020,Q2,2020-Q2,Merchant payments,35169,46446966.61,1321,North-Eastern Region
Arunachal Pradesh,2020,Q2,2020-Q2,Financial Services,1310,2655507.70,2027,North-Eastern Region
Arunachal Pradesh,2020,Q2,2020-Q2,Others,1939,1761404.40,908,North-Eastern Region
Arunachal Pradesh,2020,Q3,2020-Q3,Recharge & bill payments,514907,153463816.21,298,North-Eastern Region
Arunachal Pradesh,2020,Q3,2020-Q3,Peer-to-peer payments,370418,2361603431.38,6376,North-Eastern Region
Arunachal Pradesh,2020,Q3,2020-Q3,Merchant payments,72736,88145178.69,1212,North-Eastern Region
Arunachal Pradesh,2020,Q3,2020-Q3,Financial Services,1761,4030599.92,2289,North-Eastern Region
Arunachal Pradesh,2020,Q3,2020-Q3,Others,3005,2695539.36,897,North-Eastern Region
Arunachal Pradesh,2020,Q4,2020-Q4,Peer-to-peer payments,522019,3254744938.41,6235,North-Eastern Region
Arunachal Pradesh,2020,Q4,2020-Q4,Recharge & bill payments,513895,152389181.22,297,North-Eastern Region
Arunachal Pradesh,2020,Q4,2020-Q4,Merchant payments,167387,156682926.02,936,North-Eastern Region
Arunachal Pradesh,2020,Q4,2020-Q4,Financial Services,1749,2391651.88,1367,North-Eastern Region
Arunachal Pradesh,2020,Q4,2020-Q4,Others,4079,4055324.32,994,North-Eastern Region
Arunachal Pradesh,2021,Q1,2021-Q1,Peer-to-peer payments,566209,3460488558.94,6112,North-Eastern Region
Arunachal Pradesh,2021,Q1,2021-Q1,Recharge & bill payments,450649,142358376.90,316,North-Eastern Region
Arunachal Pradesh,2021,Q1,2021-Q1,Merchant payments,155966,204958020.09,1314,North-Eastern Region
Arunachal Pradesh,2021,Q1,2021-Q1,Financial Services,1558,2672460.47,1715,North-Eastern Region
Arunachal Pradesh,2021,Q1,2021-Q1,Others,3074,3301662.61,1074,North-Eastern Region
Arunachal Pradesh,2021,Q2,2021-Q2,Peer-to-peer payments,762946,4000960152.08,5244,North-Eastern Region
Arunachal Pradesh,2021,Q2,2021-Q2,Recharge & bill payments,556680,165579844.25,297,North-Eastern Region
